responseid,distributionchannel,q43,social_media_use,how_often_1,how_often_2,how_often_3,how_often_4,how_often_5,how_often_6,how_often_7,how_often_8,how_often_9,how_often_10,how_often_11,tweets_public,insta_public,researchers_1,researchers_2,researchers_3,researchers_4,researchers_5,researchers_6,researchers_7,researchers_8,researchers_9,researchers_10,researchers_11,researchers_12,researchers_13,researchers_14,researchers_15,researchers_16,researchers_17,researchers_18,researchers_19,researchers_20,sm_companies_1,sm_companies_2,sm_companies_3,sm_companies_4,sm_companies_5,sm_companies_6,sm_companies_7,sm_companies_8,sm_companies_9,sm_companies_10,sm_companies_11,sm_companies_12,sm_companies_13,sm_companies_14,sm_companies_15,sm_companies_16,sm_companies_17,sm_companies_18,sm_companies_19,sm_companies_20,journalists_1,journalists_2,journalists_3,journalists_4,journalists_5,journalists_6,journalists_7,journalists_8,journalists_9,journalists_10,journalists_11,journalists_12,journalists_13,journalists_14,journalists_15,journalists_16,sometimes,sometimes_text,digital_privacy_1,digital_privacy_2,digital_privacy_3,digital_privacy_4,social_science,data_archive_1,data_archive_2,data_archive_3,data_archive_4,data_archive_5,secure_archive,anonymous_archive,concern-misuse,concern-harm,age,gender_identity_1,gender_identity_2,gender_identity_3,gender_identity_4,gender_identity_5,gender_identity_6,sexual_orientation_1,sexual_orientation_2,sexual_orientation_3,sexual_orientation_4,sexual_orientation_5,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,education,income,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4,sensitivity_5,sensitivity_6,sensitivity_7,sensitivity_8,sensitivity_9,sensitivity_10,sensitivity_11,sensitivity_12,sensitivity_13,sensitivity_14,sensitivity_15,sensitivity_16,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,privacy_behaviors_1,privacy_behaviors_2,privacy_behaviors_3,privacy_behaviors_4,privacy_behaviors_5,privacy_behaviors_6,privacy_behaviors_7
R_3MiofzKOyeRPvUa,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Less Often,Don't use at all,Don't use at all,Several Times a Day,,,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,It depends on the message,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,Good idea,Extremely Concerned,Extremely Concerned,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$70,000 - $79,999",-99,Very Sensitive 10,Very Sensitive 10,-99,-99,-99,-99,-99,Very Sensitive 10,-99,Very Sensitive 10,-99,-99,-99,Very Sensitive 10,-99,No trust at all - 1,No trust at all - 1,No trust at all - 1,No trust at all - 1,No trust at all - 1,No trust at all - 1,Always,Always,Always,Always,Always,Always,Always
R_2bTLS89VGo2yhPG,anonymous,Yes,Yes,Several Times a Day,Less Often,Less Often,Don't use at all,Less Often,Don't use at all,Don't use at all,Don't use at all,Less Often,Don't use at all,Less Often,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Because it honestly depends what the pictures are or what the text contains for be to be able to correctly decide.,Agree,Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither important nor unimportant,Not important,Important,Important,Neither important nor unimportant,I'm not sure,Good idea,Moderately Unconcerned,Extremely Unconcerned,35 - 44,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Professional Degree (For example: MBA, MFA, DDS, DVM, LLB, JD)","$30,000 - $39,999",Very Sensitive 10,Not Sensitive 1,5,7,Very Sensitive 10,Very Sensitive 10,3,5,5,7,Not Sensitive 1,Very Sensitive 10,5,Very Sensitive 10,7,3,5,2,4,5,3,No trust at all - 1,Always,Always,Sometimes,Always,Always,Sometimes,Always
R_3fK31SH6K1B36qe,anonymous,Yes,Yes,About Once a Day,Don't use at all,About Once a Day,About Once a Day,About Once a Day,Don't use at all,Don't use at all,Don't use at all,About Once a Day,Don't use at all,About Once a Day,Yes,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,use of information,Agree,Agree,Agree,Agree,Disagree,Important,Not important,Not important,Important,Important,Good idea,Bad idea,Extremely Concerned,Extremely Concerned,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$70,000 - $79,999",Very Sensitive 10,5,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,5,Not Sensitive 1,5,Very Sensitive 10,9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,2,5,4,4,No trust at all - 1,No trust at all - 1,Always,Always,Always,Always,Always,Sometimes,Always
R_dmMP8fCREyQjMQN,anonymous,Yes,Yes,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,Yes,Yes,No,No,Yes,Yes,Yes,I'm not sure.,I'm not sure.,Yes,Yes,Yes,I'm not sure.,No,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,No,I'm not sure.,Yes,Yes,Yes,I'm not sure.,I'm not sure.,Yes,Yes,Yes,I'm not sure.,I'm not sure.,Yes,I'm not sure.,I'm not sure.,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,I'm not sure.,Yes,Yes,Yes,I'm not sure.,I'm not sure.,Yes,I'm not sure.,Yes,Yes,Yes,Yes,It would depend on how it was used and if specific information was used ,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Not important,Not important,Important,Not important,Not important,Good idea,Good idea,Slightly Concerned,Slightly Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Associate degree,"$40,000 - $49,999",Very Sensitive 10,6,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Not Sensitive 1,Very Sensitive 10,9,Not Sensitive 1,Very Sensitive 10,Not Sensitive 1,6,6,6,6,5,4,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never
R_1qXsoNAIfK1xo64,anonymous,Yes,Yes,Several Times a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,I'm not sure,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Not sure,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Extremely Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$40,000 - $49,999",5,Very Sensitive 10,5,Very Sensitive 10,Very Sensitive 10,9,9,Very Sensitive 10,9,Very Sensitive 10,Not Sensitive 1,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,5,No trust at all - 1,No trust at all - 1,No trust at all - 1,2,2,Sometimes,Sometimes,Sometimes,Always,Always,Always,Always
R_2Y4ihE9G0UQ7yem,anonymous,Yes,Yes,Several Times a Day,About Once a Day,About Once a Day,Don't use at all,Don't use at all,Don't use at all,Every Few Weeks,Don't use at all,About Once a Day,Don't use at all,Several Times a Day,I'm not sure,Yes,No,No,I'm not sure.,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,I was uncertainty n as to a definite answer.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Good idea,Moderately Concerned,Moderately Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,"Master's degree (For example: MA, MS)","$100,000 - $149,999",-99,-99,-99,Very Sensitive 10,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,No trust at all - 1,-99,-99,-99,-99,Always,Never,Sometimes,Sometimes,Always,Always,Always
R_1PcqsfvxBCZQwH8,anonymous,Yes,Yes,Every Few Weeks,Don't use at all,Don't use at all,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Less Often,,,Yes,No,I'm not sure.,No,No,No,I'm not sure.,No,No,No,No,No,No,No,I'm not sure.,No,No,I'm not sure.,Yes,I'm not sure.,No,No,No,No,No,No,I'm not sure.,No,No,I'm not sure.,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,Yes,No,No,No,I'm not sure.,No,I'm not sure.,I'm not sure.,No,Yes,Yes,The question may be vague or worded in a way that can be taken different ways.,Agree,Agree,Agree,Agree,Disagree,Important,Neither important nor unimportant,Important,Important,Neither important nor unimportant,Good idea,Bad idea,Moderately Concerned,Extremely Concerned,75 - 84,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$30,000 - $39,999",5,6,7,6,8,7,5,3,5,5,5,6,6,5,7,5,5,3,4,5,6,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes
R_1QMarNr3IfN5gRh,anonymous,Yes,Yes,Several Times a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,Yes,I'm not sure.,Yes,No,I'm not sure.,Yes,Yes,I'm not sure.,No,I'm not sure.,Yes,No,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Yes,No,No,No,Yes,I'm not sure.,Yes,Yes,I'm not sure.,Yes,Yes,I'm not sure.,No,I'm not sure.,Yes,Yes,I'm not sure.,No,Yes,Yes,Yes,I'm not sure.,No,I'm not sure.,Yes,No,Yes,I'm not sure.,No,No,I'm not sure.,Yes,I'm not sure.,I'm not sure.,No,No,Yes,Yes,I'm not sure.,No,I'm not sure.,Yes,Not sure,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Important,Not important,Important,Important,Important,I'm not sure,I'm not sure,Moderately Concerned,Moderately Concerned,75 - 84,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$60,000 - $69,999",Very Sensitive 10,7,9,8,9,6,7,Very Sensitive 10,Very Sensitive 10,7,5,7,9,Very Sensitive 10,8,8,3,5,5,4,4,4,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Always
R_3r0W5nATKfAEoUY,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,I'm not sure.,I'm not sure.,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,I'm not sure.,No,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Some of the questions just didn't apply to me ie postion images to social media regarding natural disasters.,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither agree nor disagree,Not important,Important,Not important,Neither important nor unimportant,Important,I'm not sure,I'm not sure,Moderately Concerned,Moderately Concerned,75 - 84,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$40,000 - $49,999",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Very Sensitive 10,-99,-99,-99,3,No trust at all - 1,4,3,3,No trust at all - 1,Never,Sometimes,Never,Sometimes,Never,Never,Never
R_29OSeutb4Yt5H4B,anonymous,Yes,Yes,About Once a Day,Every Few Weeks,Several Times a Day,Don't use at all,A Few Times a Week,Every Few Weeks,Don't use at all,Less Often,A Few Times a Week,Don't use at all,Less Often,Yes,No,I'm not sure.,No,No,No,No,No,I'm not sure.,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,There's typically variables in most questions ,Agree,Agree,Agree,Agree,Disagree,Important,Neither important nor unimportant,Important,Important,Important,Bad idea,Bad idea,Slightly Concerned,Moderately Concerned,55 - 64,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","More than $150,000",9,8,9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,9,5,6,9,6,Very Sensitive 10,Very Sensitive 10,9,8,9,4,3,2,5,3,2,Sometimes,Sometimes,Always,Always,Sometimes,Always,Always
R_332bvFwBPWvMnBL,anonymous,Yes,Yes,Several Times a Day,Don't use at all,A Few Times a Week,Don't use at all,Less Often,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,Yes,No,I'm not sure.,Yes,I'm not sure.,Yes,No,No,I'm not sure.,I'm not sure.,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,I'm not sure.,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,The relevance of the question and what it could imply,Agree,Agree,Agree,Agree,Disagree,Important,Not important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Extremely Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$30,000 - $39,999",Very Sensitive 10,6,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,6,7,4,6,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,5,3,4,5,5,No trust at all - 1,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes
R_3NVfbuRtl2naRdB,anonymous,Yes,Yes,About Once a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,depends on how used and if used accurately,Agree,Agree,Agree,Agree,Agree,Important,Important,Important,Important,Important,I'm not sure,I'm not sure,Moderately Concerned,Moderately Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$40,000 - $49,999",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Very Sensitive 10,-99,-99,-99,3,No trust at all - 1,No trust at all - 1,No trust at all - 1,No trust at all - 1,No trust at all - 1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes
R_1dLYLDuGVw7UzCV,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,About Once a Day,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Less Often,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,privacy,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Disagree,Important,Important,Important,Important,Important,Good idea,Good idea,Extremely Concerned,Extremely Concerned,55 - 64,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$80,000 - $89,999",9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,9,8,Very Sensitive 10,5,8,5,8,5,7,Very Sensitive 10,8,7,4,3,6,5,5,2,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always
R_1HcQgSdGZ56WWHk,anonymous,Yes,Yes,About Once a Day,Don't use at all,Every Few Weeks,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Every Few Weeks,Don't use at all,A Few Times a Week,Yes,,Yes,Yes,No,No,No,I'm not sure.,Yes,I'm not sure.,No,Yes,No,No,Yes,I'm not sure.,No,I'm not sure.,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"sometimes, when I see an ad for something I just researched or spoke about",Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Good idea,Moderately Concerned,Slightly Concerned,45 - 54,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$80,000 - $89,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,5,Not Sensitive 1,5,5,5,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,3,4,5,3,4,3,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Always
R_1OYLd3ZKZQDtqUZ,anonymous,Yes,Yes,Less Often,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,No,No,I'm not sure.,No,No,No,No,I'm not sure.,I'm not sure.,No,No,I'm not sure.,No,No,I'm not sure.,No,No,No,No,No,No,I'm not sure.,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,depends on circumstances and the vagueness  of the question,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Bad idea,Extremely Concerned,Extremely Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$90,000 - $99,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,4,No trust at all - 1,3,Complete Trust - 7,4,No trust at all - 1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
R_2dsiTy817SBwxfR,anonymous,Yes,Yes,About Once a Day,Don't use at all,About Once a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,,,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,No,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,Having been a long-time academic researcher myself.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,I'm not sure,Good idea,Extremely Concerned,Extremely Unconcerned,75 - 84,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Doctorate degree (For example: PhD, EdD)","$100,000 - $149,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,8,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,4,4,6,6,3,2,Always,Always,Always,Always,Always,Always,Always
R_zSdgL6o66LiqJUZ,anonymous,Yes,Yes,Several Times a Day,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,About Once a Day,,,Yes,No,No,No,Yes,Yes,Yes,No,I'm not sure.,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Was not sure,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Not important,Good idea,Good idea,Slightly Unconcerned,Moderately Concerned,65 - 74,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$30,000 - $39,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,8,Very Sensitive 10,6,9,8,Very Sensitive 10,7,Not Sensitive 1,Very Sensitive 10,Very Sensitive 10,6,Very Sensitive 10,Very Sensitive 10,4,No trust at all - 1,3,3,3,No trust at all - 1,Never,Never,Never,Never,Never,Sometimes,Always
R_1l4ZSTZuFTwqfG9,anonymous,Yes,Yes,Don't use at all,Several Times a Day,Less Often,Don't use at all,Every Few Weeks,Every Few Weeks,A Few Times a Week,Don't use at all,Several Times a Day,A Few Times a Week,Less Often,Yes,No,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,Yes,I'm not very committal so answering that way is my way of avoiding issues.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,I'm not sure,Slightly Concerned,Moderately Concerned,18 - 24,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,Some college but no degree,"More than $150,000",8,8,7,9,9,7,4,7,5,5,5,4,8,6,9,3,4,4,5,2,2,3,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes
R_3Hk6oXivGLRT3Dd,anonymous,Yes,Yes,About Once a Day,Don't use at all,Every Few Weeks,About Once a Day,Every Few Weeks,Don't use at all,Don't use at all,Don't use at all,Don't use at all,A Few Times a Week,A Few Times a Week,,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Because sometimes it is OK to do something and sometimes it is NOT ok. Some questions are just too general to give a distinct yes or no answer.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,Good idea,Moderately Concerned,Extremely Concerned,65 - 74,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$70,000 - $79,999",9,8,9,Very Sensitive 10,8,6,5,5,7,5,5,6,Very Sensitive 10,9,Very Sensitive 10,9,5,5,6,6,4,3,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always
R_3qJuFcC6t7a4m0Z,anonymous,Yes,Yes,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Less Often,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Several Times a Day,,,Yes,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,I'm not sure.,No,No,I'm not sure.,No,I'm not sure.,I'm not sure.,No,I'm not sure.,No,No,No,Yes,I'm not sure.,Yes,I'm not sure.,I'm not sure.,No,No,I'm not sure.,I'm not sure.,No,No,I'm not sure.,I'm not sure.,No,No,I'm not sure.,No,No,No,No,Yes,No,I'm not sure.,I'm not sure.,No,No,No,I'm not sure.,I'm not sure.,I'm not sure.,No,No,No,I'm not sure.,No,I'm not sure.,No,I'm not sure.,No,Yes,mistrust and prior experiences ,Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Important,Important,Important,Neither important nor unimportant,Important,Bad idea,Bad idea,Moderately Concerned,Slightly Concerned,65 - 74,Woman,0,0,0,0,0,0,0,0,Prefer not to answer,0,American Indian or Alaskan Native,0,0,0,0,0,0,0,0,Some college but no degree,"$40,000 - $49,999",-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,-99,-99,-99,2,5,3,-99,-99,-99,-99,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always
